モジュール名	概要	依存関係	機能
AllowFutureDateRule.cls	日付が未来の日付であることを許可するかどうかを検証するルール	IValidationRule, ErrorInfo, modStackTrace, modError, modErrorCodes	- 未来日付の許可/不許可を設定 <br> - 日付の妥当性を検証 <br> - エラーメッセージを返す
AllowPastDateRule.cls	日付が過去の日付であることを許可するかどうかを検証するルール	IValidationRule, ErrorInfo, modStackTrace, modError	- 過去日付の許可/不許可を設定 <br> - 日付の妥当性を検証 <br> - エラーメッセージを返す
clsCallStack.cls	スレッドセーフなコールスタックの実装	IStackTrace, StackTraceImpl, clsLock, modErrorCodes, modError, ErrorInfo	- 呼び出し履歴のエントリを追加/削除 <br> - スタックトレースを取得 <br> - スタックの深さを取得
clsCriticalSectionLock.cls	クリティカルセクションを用いたスレッドセーフなロック機構の実装	ILock, modStackTrace, modError, ErrorInfo	- ロックの取得/解放 <br> - タイムアウト付きロック取得 <br> - ロック状態の検証（テスト用）
clsCrypto.cls	暗号化操作を提供するクラス	IPerformanceMonitor, ILock, ICryptography, IKeyDerivationStrategy, modWindowsAPI, modError, ErrorInfo	- 文字列の暗号化/復号化 <br> - ハッシュの生成 <br> - AESキーの導出 <br> - Base64エンコード/デコード
clsLock.cls	Mutexを用いたスレッドセーフなロック機構の実装	modWindowsAPI, modError, ErrorInfo, modStackTrace	- ロックの取得/解放 <br> - ロック状態の検証（テスト用）
clsLogger.cls	ログ出力機能を提供するクラス	ILogger, ILoggerSettings, IQueue, ILock, IPerformanceMonitor, FileLogger, DatabaseLogger, EventLogLogger, ConsoleLogger, QueueImpl, ErrorInfo, modStackTrace, modError	- ログメッセージのキューイング <br> - ログ出力先の管理 <br> - ログレベルによるフィルタリング <br> - タイマーによる非同期ログ処理 <br> - ログイベントの発行
clsMutexLock.cls	ミューテックスを使用したロック機構を提供するクラス	ILock, IMutex, IAppConfig, modConfig, modStackTrace, modError, ErrorInfo	- ロックの取得と解放 <br> - タイムアウト付きロック取得 <br> - 設定ファイルからのミューテックス名読み込み <br> - エラーログ出力
clsPerformanceMonitor.cls	パフォーマンス監視機能を提供するレガシークラス	IPerformanceMonitor, PerformanceMonitorImpl	- 計測の開始/終了 <br> - 計測結果の取得/クリア <br> - パフォーマンス監視の有効/無効設定
clsSemaphoreLock.cls	セマフォを用いたスレッドセーフなロック機構の実装	ILock, IAppConfig, modError, ErrorInfo, modStackTrace	- ロックの取得/解放 <br> - タイムアウト付きロック取得 <br> - ロック状態の検証（テスト用）
ConfigImpl.cls	アプリケーション設定とデータベース設定を管理するクラス	IAppConfig, IDatabaseConfig, IIniFile, IniFileImpl, clsLock, ODBCConnectionStringBuilder, OLEDBConnectionStringBuilder	- 設定の読み込み/保存 <br> - データベース接続文字列の生成 <br> - データベース設定の取得
ConnectionPool.cls	データベース接続プールを管理するクラス	IConnectionPool, IDatabaseConfig, IPerformanceMonitor, ILock, ILogger, modError, ErrorInfo, modStackTrace	- 接続の取得/返却 <br> - アクティブな接続数の取得 <br> - 最大接続数の取得/設定 <br> - 接続タイムアウトの取得/設定 <br> - 新しい接続の作成 <br> - 接続の有効性検証
ConsoleLogger.cls	コンソールへのログ出力を行うクラス	ILogger, IPerformanceMonitor, ErrorInfo, modError, modStackTrace	- コンソールへのログ出力 <br> - ログレベルに応じた色付け <br> - ログメッセージの組み立て
CryptographyImpl.cls	暗号化操作の実装クラス	ICryptography, modWindowsAPI, clsPerformanceMonitor, clsLock, ErrorInfo	- 暗号化プロバイダの取得/解放 <br> - ハッシュの作成/破棄 <br> - データのハッシュ化 <br> - 鍵の導出/破棄 <br> - データの暗号化/復号化
DatabaseConnectionErrorHandler.cls	データベース接続エラーを処理するクラス	IErrorHandler, ILock, ILogger, IEmergencyLogger, IDatabaseConfig, IUserNotifier, ErrorInfo, modStackTrace, modError, modWindowsAPI	- データベース接続エラーのハンドリング <br> - リトライ処理 <br> - エラーログ出力 <br> - ユーザーへの通知
DatabaseLogger.cls	データベースへのログ出力を行うクラス	ILogger, IConnectionPool, ILock, IPerformanceMonitor, IDatabaseConfig, ErrorInfo, modError	- データベースへのログ出力 <br> - 接続プールの利用 <br> - リトライ処理
DateValidator.cls	日付の妥当性検証を行うクラス	IValidator, IValidationRule, IError, ErrorInfo, modStackTrace, modError, MinDateRule, MaxDateRule, AllowFutureDateRule	- 日付検証ルールの追加/クリア <br> - 日付の妥当性検証 <br> - エラーハンドラーの設定 <br> - 生年月日バリデーターの作成 <br> - 有効期限バリデーターの作成
